ID,Applicant_Name,Gender,District,State,Pincode,Ownership,GovtID_Type,ID_Number,Category,Load_Applied,Date_of_Application,Date_of_Approval,Modified_Date,Status,Reviewer_ID,Reviewer_Name,Reviewer_Comments
1,MICHAEL,Male,North,KARNATAKA,560028,JOINT,AADHAR,6349499,Commercial,10,18-03-2021,12-10-2024,18-04-2021,Approved,1460,HEM CHAND,Installation pending
2,DAVID,Male,South,KARNATAKA,560007,INDIVIDUAL,VOTER_ID,76929,Commercial,6,25-08-2021,,25-09-2021,Pending,1311,Sudhanshu Gupta,Documents verification in progress
3,JOHN,Male,East,KARNATAKA,560065,INDIVIDUAL,PAN,6349499,Commercial,7,08-01-2021,,08-02-2021,Pending,1460,HEM CHAND,Documents verification in progress
4,JENNIFER,Male,West,KARNATAKA,560037,INDIVIDUAL,PASSPORT,615909293,Commercial,3,14-01-2021,,14-02-2021,Pending,2456,RAHUL SINGH,Documents verification in progress
5,CHRIS,Male,North,KARNATAKA,560013,INDIVIDUAL,PASSPORT,674510412,Residential,3,15-07-2021,,15-08-2021,Pending,1678,Manoj Pandey,Documents verification in progress
6,JESSICA,Male,North,KARNATAKA,560054,INDIVIDUAL,AADHAR,9.49E+11,Commercial,5,03-04-2021,,03-05-2021,Pending,1678,Manoj Pandey,Documents verification in progress
7,LISA,Male,North,KARNATAKA,560001,INDIVIDUAL,PAN,7768237,Residential,9,17-09-2021,,17-10-2021,Pending,2456,RAHUL SINGH,Documents verification in progress
8,MIKE,Male,North,KARNATAKA,560018,INDIVIDUAL,VOTER_ID,76623,Commercial,8,16-10-2021,,16-11-2021,Pending,1311,Sudhanshu Gupta,Documents verification in progress
9,ANTHONY,Male,North,KARNATAKA,560042,INDIVIDUAL,PASSPORT,946919751,Residential,1,08-03-2021,,08-04-2021,Pending,4510,VINOD GUPTA,Documents verification in progress
10,JAMES,Male,North,KARNATAKA,560065,JOINT,PAN,3142144,Residential,4,15-03-2021,,15-04-2021,Pending,1460,HEM CHAND,Documents verification in progress
11,ROBERT,Male,North,KARNATAKA,560034,JOINT,PAN,3757059,Commercial,7,30-10-2021,,30-11-2021,Pending,1311,Sudhanshu Gupta,Documents verification in progress
12,JASON,Male,North,KARNATAKA,560019,INDIVIDUAL,AADHAR,2.53E+11,Commercial,3,15-04-2021,15-05-2024,15-05-2021,Connection Released,1460,HEM CHAND,Installation completed
13,BRIAN,Male,North,KARNATAKA,560048,JOINT,VOTER_ID,90809,Commercial,6,11-11-2021,11-12-2024,11-12-2021,Connection Released,2456,RAHUL SINGH,Installation completed
14,KEVIN,Male,North,KARNATAKA,560028,INDIVIDUAL,PASSPORT,840545693,Residential,7,25-06-2021,25-07-2024,25-07-2021,Connection Released,2456,RAHUL SINGH,Installation completed
15,ANDREW,Male,North,KARNATAKA,560055,INDIVIDUAL,VOTER_ID,91845,Commercial,12,23-02-2021,23-03-2024,23-03-2021,Connection Released,1311,Sudhanshu Gupta,Installation completed
16,MICHELLE,Male,North,KARNATAKA,560005,INDIVIDUAL,PASSPORT,617745068,Residential,8,06-10-2021,06-11-2024,06-11-2021,Connection Released,4510,VINOD GUPTA,Installation completed
17,DANIEL,Male,North,KARNATAKA,560002,INDIVIDUAL,PASSPORT,734846801,Residential,3,19-03-2021,19-04-2024,19-04-2021,Connection Released,2456,RAHUL SINGH,Installation completed
18,MARIA,Male,North,KARNATAKA,560031,INDIVIDUAL,VOTER_ID,82338,Residential,12,06-11-2021,06-12-2024,06-12-2021,Connection Released,1678,Manoj Pandey,Installation completed
19,NICOLE,Male,North,KARNATAKA,560022,INDIVIDUAL,PAN,1913149,Residential,7,09-03-2021,09-04-2024,09-04-2021,Connection Released,4510,VINOD GUPTA,Installation completed
20,ALEX,Male,North,KARNATAKA,560062,INDIVIDUAL,VOTER_ID,76379,Commercial,4,25-09-2021,25-10-2024,25-10-2021,Connection Released,4510,VINOD GUPTA,Installation completed
21,MELISSA,Male,North,KARNATAKA,560007,INDIVIDUAL,AADHAR,8.67E+11,Commercial,10,23-07-2021,23-08-2024,23-08-2021,Connection Released,1678,Manoj Pandey,Installation completed
22,ERIC,Male,North,KARNATAKA,560025,JOINT,VOTER_ID,86546,Residential,11,10-10-2021,10-11-2024,10-11-2021,Connection Released,1678,Manoj Pandey,Installation completed
23,SARAH,Male,North,KARNATAKA,560059,JOINT,PAN,7198550,Commercial,6,16-08-2021,16-09-2024,16-09-2021,Approved,2456,RAHUL SINGH,Installation pending
24,MARK,Male,North,KARNATAKA,560058,INDIVIDUAL,VOTER_ID,79716,Commercial,12,02-12-2021,31-08-2024,02-01-2022,Approved,1311,Sudhanshu Gupta,Installation pending
25,JOE,Male,North,KARNATAKA,560063,INDIVIDUAL,PAN,1784042,Residential,9,14-11-2021,22-05-2024,14-12-2021,Approved,4510,VINOD GUPTA,Installation pending
26,JOSEPH,Male,North,KARNATAKA,560039,INDIVIDUAL,PAN,8142564,Commercial,5,22-12-2021,13-11-2024,22-01-2022,Approved,1678,Manoj Pandey,Installation pending
27,STEPHANIE,Male,North,KARNATAKA,560061,INDIVIDUAL,PASSPORT,498064422,Residential,2,22-10-2021,04-02-2024,22-11-2021,Approved,1460,HEM CHAND,Installation pending
28,PAUL,Male,North,KARNATAKA,560023,INDIVIDUAL,PAN,7253926,Residential,7,06-01-2021,11-05-2024,06-02-2021,Rejected ,1460,HEM CHAND,KYC failed
